8 3 2  9 5 7  4 1 6 
5 6 9  4 1 8  2 7 3 
7 4 1  2 6 3  8 5 9 

6 7 4  3 2 1  9 8 5 
9 2 8  5 4 6  7 3 1 
1 5 3  8 7 9  6 2 4 

3 9 6  1 8 2  5 4 7 
4 8 7  6 3 5  1 9 2 
2 1 5  7 9 4  3 6 8


0 0 0  9 0 0  0 0 0
5 0 0  4 1 0  0 0 3
7 0 0  0 0 0  8 5 0

0 0 4  3 0 0  0 8 0
0 2 0  0 0 0  0 3 0
0 5 0  0 0 9  6 0 0

0 9 6  0 0 0  0 0 7
4 0 0  0 3 5  0 0 2
0 0 0  0 0 4  0 0 0


1 3 2  9 5 6  4 7 4
5 6 8  4 1 2  9 2 3
7 4 9  2 6 3  8 5 6

6 7 4  3 2 1  2 8 9
9 2 1  5 4 7  7 3 5
8 5 3  7 7 9  6 1 1

2 9 6  1 8 8  3 4 7
4 8 7  6 3 5  1 9 2
3 1 7  8 2 4  5 6 8
